iter	RMSE
0	14.62245293
1	14.20678049
2	13.81215342
3	13.43422374
4	13.06924362
5	12.71715081
6	12.3810461
7	12.03482744
8	11.68510843
9	11.39310632
10	11.14764349
11	10.83873489
12	10.52657576
13	10.25731519
14	10.01980643
15	9.76228572
16	9.50954016
17	9.260193202
18	9.055608809
19	8.835421718
20	8.626569781
21	8.422678791
22	8.210619442
23	8.015565722
24	7.831521891
25	7.647668542
26	7.474147616
27	7.344469114
28	7.180582074
29	7.032206514
30	6.883242121
31	6.733363633
32	6.593477611
33	6.451880149
34	6.318475687
35	6.194767685
36	6.077578134
37	5.971431358
38	5.859620347
39	5.753550215
40	5.652665244
41	5.561545253
42	5.474457073
43	5.380984567
44	5.296860774
45	5.220681826
46	5.139409391
47	5.052159268
48	4.974370813
49	4.905712011
50	4.837979184
51	4.773660745
52	4.71944651
53	4.655661578
54	4.600972872
55	4.548979382
56	4.492871139
57	4.439972336
58	4.392859091
59	4.342663848
60	4.299293197
61	4.251544156
62	4.209867571
63	4.173397926
64	4.130795601
65	4.095819899
66	4.060144441
67	4.026084531
68	3.993940336
69	3.962336734
70	3.936246496
71	3.908199126
72	3.883269823
73	3.859650295
74	3.836157075
75	3.81240218
76	3.790892615
77	3.766292891
78	3.74528263
79	3.726539335
80	3.709689778
81	3.692063535
82	3.674050811
83	3.657068462
84	3.640841115
85	3.625212069
86	3.609823831
87	3.593690755
88	3.578235856
89	3.564660075
90	3.550278228
91	3.536016168
92	3.522864591
93	3.509366958
94	3.496872912
95	3.486156822
96	3.473963558
97	3.463037826
98	3.452569369
99	3.442494767
100	3.43386738
101	3.423399323
102	3.414353895
103	3.406304217
104	3.397524307
105	3.389388597
106	3.37925849
107	3.372052096
108	3.36395674
109	3.356563286
110	3.348585234
111	3.340860939
112	3.334966808
113	3.328634627
114	3.321826952
115	3.315928763
116	3.308983819
117	3.302812408
118	3.299113003
119	3.291319942
120	3.28530572
121	3.279699031
122	3.272935204
123	3.26774075
124	3.261738996
125	3.257231358
126	3.251825203
127	3.247868503
128	3.242783695
129	3.238146376
130	3.234908638
131	3.230810647
132	3.225882091
133	3.220775268
134	3.216747164
135	3.211971026
136	3.208202001
137	3.203885866
138	3.19869963
139	3.193951132
140	3.190996214
141	3.18698948
142	3.184580121
143	3.180609784
144	3.177720516
145	3.173060076
146	3.169029298
147	3.164739411
148	3.160955531
149	3.156476882
150	3.153438751
151	3.149691739
152	3.145067653
153	3.141165265
154	3.138649882
155	3.1350124
156	3.131859776
157	3.129181046
158	3.126486026
159	3.124193255
160	3.120917233
161	3.11844043
162	3.113520748
163	3.110690073
164	3.10721671
165	3.10521469
166	3.102590497
167	3.100643238
168	3.09654036
169	3.094604035
170	3.092995352
171	3.091473617
172	3.088418368
173	3.085252504
174	3.082261303
175	3.080391008
176	3.078341931
177	3.074796136
178	3.072987769
179	3.07075883
180	3.067414227
181	3.065400944
182	3.061155301
183	3.059438671
184	3.056702024
185	3.056002892
186	3.053799547
187	3.05020723
188	3.048189199
189	3.045054609
190	3.041581995
191	3.040036218
192	3.03804927
193	3.036297419
194	3.03406976
195	3.031557873
196	3.029000546
197	3.025924154
198	3.022275981
199	3.020494113
200	3.019825128
201	3.016372701
202	3.014019184
203	3.011649903
204	3.010131119
205	3.008436816
206	3.006431408
207	3.004849911
208	2.998064942
209	2.996509745
210	2.995652147
211	2.994110899
212	2.991950946
213	2.991589863
214	2.989723271
215	2.988402204
216	2.987949716
217	2.986398828
218	2.983535309
219	2.982711149
220	2.978850385
221	2.977192023
222	2.974346244
223	2.972855343
224	2.972056018
225	2.968392431
226	2.968035005
227	2.965584066
228	2.964763626
229	2.961422262
230	2.960614584
231	2.957135447
232	2.95549655
233	2.954720664
234	2.953226923
235	2.952620539
236	2.952005083
237	2.951543548
238	2.950912386
239	2.947664033
240	2.945319891
241	2.942610616
242	2.942003572
243	2.93834635
244	2.938137705
245	2.93424534
246	2.93183174
247	2.929368037
248	2.928905785
249	2.925816143
250	2.925356072
251	2.924655621
252	2.921385498
253	2.91988854
254	2.919074247
255	2.913125467
